Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,8.850000,8.870000,8.180000,8.550000,5.887787,104494600
2005-02-01,8.615000,9.055000,8.490000,8.995000,6.194228,96185400
2005-03-01,8.995000,9.110000,7.575000,8.015000,5.519372,164822800
2005-04-01,8.050000,8.100000,7.575000,7.885000,5.429850,126685800
2005-05-01,7.850000,8.570000,7.815000,8.385000,5.774164,93118800
2005-06-01,8.345000,9.980000,8.230000,9.515000,6.552317,193599400
2005-07-01,9.485000,9.995000,9.355000,9.925000,6.834656,112605200
2005-08-01,9.975000,10.065000,9.545000,9.870000,6.796781,112939400
2005-09-01,9.840000,10.440000,9.835000,10.295000,7.089447,157052000
2005-10-01,10.270000,10.400000,9.570000,9.950000,6.851870,136299200
2005-11-01,9.950000,10.035000,9.375000,9.730000,6.700373,121672200
2005-12-01,9.745000,10.290000,9.250000,9.440000,6.500671,138593600
2006-01-01,9.445000,9.725000,9.135000,9.200000,6.335397,149176800
2006-02-01,9.195000,10.180000,9.025000,10.020000,6.900075,143433600
2006-03-01,10.015000,10.490000,9.820000,10.180000,7.010254,154610000
2006-04-01,10.170000,10.300000,9.695000,10.130000,6.975826,96611200
2006-05-01,10.050000,10.475000,9.585000,10.055000,6.924177,115675200
2006-06-01,10.025000,11.150000,9.685000,10.930000,7.575458,180684200
2006-07-01,10.850000,11.615000,10.735000,11.465000,7.946260,166679600
2006-08-01,11.440000,12.025000,11.195000,11.905000,8.251217,138345800
2006-09-01,11.940000,12.075000,11.045000,11.570000,8.064495,150638200
2006-10-01,11.610000,11.685000,10.845000,11.245000,7.837968,188804600
2006-11-01,11.210000,11.255000,10.560000,10.730000,7.479001,157594600
2006-12-01,10.820000,12.240000,10.705000,11.535000,8.087696,239289400
2007-01-01,11.535000,12.865000,11.470000,12.800000,8.974645,211580000
2007-02-01,12.790000,13.345000,12.390000,12.820000,8.988669,173507600
2007-03-01,12.710000,14.355000,12.370000,14.125000,9.953621,324669200
2007-04-01,14.075000,15.215000,14.075000,14.755000,10.397573,255719600
2007-05-01,14.800000,15.250000,14.310000,15.160000,10.682963,248405200
2007-06-01,15.180000,15.970000,13.565000,14.065000,9.963142,292649000
2007-07-01,14.145000,14.735000,12.960000,12.980000,9.194566,270982000
2007-08-01,12.925000,13.740000,11.975000,13.290000,9.414161,322678800
2007-09-01,13.290000,14.750000,12.650000,14.260000,10.161139,180399600
2007-10-01,14.345000,15.000000,13.935000,14.695000,10.471105,170037000
2007-11-01,14.585000,14.680000,13.305000,14.375000,10.243082,199203400
2007-12-01,14.455000,14.675000,12.795000,13.355000,9.570015,260558800
2008-01-01,13.325000,13.715000,12.115000,12.725000,9.118566,289164000
2008-02-01,12.725000,13.560000,12.090000,12.125000,8.688614,239066600
2008-03-01,12.135000,13.075000,12.025000,12.700000,9.153914,277881800
2008-04-01,12.820000,13.965000,11.695000,13.625000,9.820636,300536200
2008-05-01,13.585000,14.065000,13.045000,13.820000,9.961186,217487600
2008-06-01,13.800000,14.875000,12.930000,14.435000,10.473829,318433400
2008-07-01,14.250000,14.975000,13.265000,14.140000,10.259779,340393600
2008-08-01,14.230000,15.495000,13.590000,13.810000,10.020339,287162600
2008-09-01,14.000000,14.795000,12.600000,13.740000,10.029025,360189200
2008-10-01,13.655000,14.125000,11.150000,13.730000,10.021727,459944200
2008-11-01,13.725000,14.515000,12.085000,13.830000,10.094717,315148800
2008-12-01,13.585000,13.895000,12.190000,13.205000,9.701494,343650400
2009-01-01,13.245000,13.470000,11.200000,11.250000,8.265189,274731000
2009-02-01,11.210000,11.505000,10.160000,10.335000,7.592955,360619000
2009-03-01,10.175000,11.295000,9.695000,10.610000,7.860992,330966000
2009-04-01,10.520000,11.140000,9.950000,10.810000,8.009171,301296400
2009-05-01,10.795000,11.400000,10.555000,11.400000,8.446304,259765000
2009-06-01,11.425000,11.815000,10.550000,11.025000,8.237139,331704200
2009-07-01,11.055000,11.210000,10.255000,10.690000,7.986849,336550000
2009-08-01,10.745000,11.075000,10.340000,10.795000,8.065301,333582200
2009-09-01,10.785000,11.115000,10.065000,10.320000,7.777235,550915800
2009-10-01,10.310000,12.400000,10.255000,11.565000,8.715474,456897400
2009-11-01,11.630000,12.060000,11.280000,11.370000,8.568522,217161600
2009-12-01,11.445000,11.565000,9.725000,10.265000,7.798512,569009400
2010-01-01,10.265000,10.980000,10.005000,10.715000,8.140390,357970600
2010-02-01,10.765000,11.210000,10.475000,11.050000,8.394894,249676200
2010-03-01,11.090000,11.590000,10.550000,10.830000,8.301567,395694800
2010-04-01,10.880000,11.880000,10.870000,11.115000,8.520027,329291000
2010-05-01,11.140000,11.430000,9.850000,10.065000,7.715168,452145400
2010-06-01,10.030000,10.720000,9.540000,9.845000,7.611794,426875000
2010-07-01,9.915000,10.690000,9.785000,10.590000,8.187800,342973800
2010-08-01,10.690000,11.250000,9.835000,9.865000,7.627257,255088000
2010-09-01,9.955000,11.145000,9.920000,10.830000,8.446271,249893600
2010-10-01,10.930000,11.185000,10.550000,11.000000,8.578852,263570800
2010-11-01,11.025000,11.805000,10.925000,11.775000,9.183273,235778600
2010-12-01,11.905000,12.070000,10.265000,11.180000,8.800579,469769000
2011-01-01,11.215000,11.225000,10.545000,10.700000,8.422733,272627600
2011-02-01,10.745000,11.730000,10.735000,11.450000,9.013115,271312200
2011-03-01,11.520000,12.175000,11.245000,11.985000,9.523052,422203400
2011-04-01,12.030000,12.465000,11.820000,12.155000,9.658134,254162200
2011-05-01,12.170000,12.740000,11.965000,12.410000,9.860751,240647200
2011-06-01,12.385000,12.440000,11.445000,12.400000,9.937741,408924000
2011-07-01,12.375000,12.925000,12.300000,12.435000,9.965793,233335600
2011-08-01,12.535000,12.540000,10.760000,11.780000,9.440854,385627400
2011-09-01,11.815000,11.890000,10.570000,10.980000,8.884789,325914800
2011-10-01,10.960000,11.825000,10.670000,11.590000,9.378388,227837400
2011-11-01,11.385000,11.735000,10.840000,11.590000,9.378388,212695200
2011-12-01,11.855000,12.315000,11.470000,12.110000,9.899242,182237600
2012-01-01,12.240000,12.415000,11.850000,11.880000,9.711229,178877400
2012-02-01,11.975000,12.095000,11.460000,11.895000,9.723495,270066600
2012-03-01,12.255000,12.390000,11.835000,12.115000,10.000669,259237000
2012-04-01,12.085000,12.230000,11.500000,11.635000,9.604442,197523400
2012-05-01,11.635000,11.810000,10.880000,11.005000,9.084390,193111400
2012-06-01,10.965000,11.610000,10.590000,11.595000,9.667765,324396600
2012-07-01,11.550000,11.590000,10.490000,11.085000,9.242532,288739800
2012-08-01,11.105000,11.380000,10.785000,11.140000,9.288389,199788200
2012-09-01,11.130000,12.020000,11.025000,11.770000,9.915031,286970200
2012-10-01,11.760000,12.720000,11.545000,12.610000,10.622645,240585600
2012-11-01,12.600000,13.200000,12.095000,13.120000,11.052269,204184000
2012-12-01,13.165000,13.555000,12.785000,13.010000,11.093204,180179600
2013-01-01,13.170000,14.000000,12.600000,13.850000,11.809444,149335800
2013-02-01,13.925000,14.760000,13.765000,14.605000,12.453211,162781600
2013-03-01,14.590000,16.639999,14.515000,16.570000,14.278791,173284000
2013-04-01,16.540001,17.620001,15.760000,17.190001,14.813065,183859800
2013-05-01,17.190001,17.719999,16.834999,16.834999,14.507151,145865200
2013-06-01,16.850000,17.820000,16.385000,17.270000,15.012582,177105000
2013-07-01,17.344999,19.990000,17.295000,19.635000,17.068445,178106800
2013-08-01,19.750000,19.879999,17.955000,18.299999,15.907951,140477400
2013-09-01,18.485001,20.709999,18.355000,20.170000,17.669573,176151400
2013-10-01,20.174999,21.924999,19.860001,21.420000,18.764612,132791600
2013-11-01,21.420000,21.549999,20.605000,20.875000,18.287180,128779000
2013-12-01,20.865000,21.125000,19.430000,19.764999,17.452200,155916000
2014-01-01,19.629999,19.830000,17.855000,18.049999,15.937881,186075600
2014-02-01,18.049999,20.980000,17.565001,20.969999,18.516197,157068400
2014-03-01,20.840000,22.625000,20.600000,21.825001,19.444147,215871000
2014-04-01,21.865000,23.020000,21.665001,23.020000,20.508793,161660800
2014-05-01,23.055000,23.950001,22.655001,23.870001,21.266066,141551000
2014-06-01,23.900000,25.100000,23.385000,24.715000,22.175623,138648600
2014-07-01,24.600000,25.745001,24.389999,24.490000,21.973738,114549000
2014-08-01,24.500000,25.555000,24.290001,25.490000,22.870995,88896400
2014-09-01,25.514999,26.480000,25.485001,26.000000,23.483244,126905800
2014-10-01,25.959999,28.055000,25.420000,27.855000,25.158684,174216800
2014-11-01,27.865000,30.190001,27.850000,29.920000,27.023792,102792400
2014-12-01,29.905001,32.490002,29.270000,32.105000,29.182556,144860600
2015-01-01,32.055000,35.029999,31.190001,34.525002,31.382275,174078600
2015-02-01,34.505001,36.799999,34.165001,35.575001,32.336685,153676600
2015-03-01,35.509998,38.869999,34.540001,38.330002,35.021664,210360000
2015-04-01,38.365002,38.779999,34.080002,34.455002,31.481121,179724800
2015-05-01,34.525002,37.310001,34.049999,36.400002,33.258244,159659400
2015-06-01,36.595001,37.514999,35.119999,36.255001,33.298458,161161000
