Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,48.240002,49.180000,46.330002,47.270000,34.717415,51977500
2005-02-01,47.189999,47.360001,45.400002,46.590000,34.217976,48508400
2005-03-01,46.630001,47.270000,42.750000,44.180000,32.518093,88083800
2005-04-01,44.360001,47.230000,39.480000,40.630001,29.905153,97608200
2005-05-01,40.709999,46.360001,40.680000,45.380001,33.401325,72604700
2005-06-01,45.340000,46.730000,44.290001,44.730000,33.013214,58189800
2005-07-01,45.099998,46.799999,44.520000,45.970001,33.928402,40251700
2005-08-01,45.919998,46.060001,42.310001,43.400002,32.031597,81912200
2005-09-01,43.759998,44.180000,40.509998,43.090000,31.883598,61770100
2005-10-01,43.040001,48.599998,42.349998,48.369999,35.790424,81024900
2005-11-01,48.299999,51.209999,47.849998,49.950001,36.959515,55618600
2005-12-01,48.599998,50.419998,48.020000,49.470001,36.690025,54919500
2006-01-01,49.750000,51.080002,48.740002,49.889999,37.001534,50314800
2006-02-01,49.919998,52.150002,48.480000,51.189999,37.965675,39344700
2006-03-01,51.700001,56.310001,50.779999,54.160000,40.262409,74544700
2006-04-01,54.480000,57.380001,53.259998,54.430000,40.463116,56564500
2006-05-01,54.740002,57.240002,52.320000,52.930000,39.348007,69298200
2006-06-01,53.099998,57.380001,52.029999,57.130001,42.567883,72765000
2006-07-01,57.180000,57.939999,50.700001,52.759998,39.311783,82553700
2006-08-01,52.400002,52.650002,46.000000,46.790001,34.951801,119717400
2006-09-01,47.110001,52.349998,46.930000,49.680000,37.110615,105807300
2006-10-01,49.570000,54.349998,47.889999,53.380001,39.874489,110495000
2006-11-01,53.549999,54.770000,51.400002,52.299999,39.067745,66647500
2006-12-01,52.279999,55.119999,51.730000,52.869999,39.591686,61920400
2007-01-01,53.349998,57.250000,52.430000,56.160000,42.055405,63590400
2007-02-01,56.250000,58.700001,55.049999,55.889999,41.853199,57578500
2007-03-01,55.099998,56.740002,51.520000,53.840000,40.411930,105195800
2007-04-01,53.349998,56.070000,53.349998,53.570000,40.209259,73455700
2007-05-01,53.580002,57.450001,53.000000,56.470001,42.499580,89022100
2007-06-01,56.540001,59.090000,54.849998,58.520000,44.042419,82585700
2007-07-01,59.500000,63.070000,58.340000,59.799999,45.005756,89572800
2007-08-01,60.000000,65.570000,57.240002,61.750000,46.585636,114687300
2007-09-01,61.959999,62.740002,56.090000,61.369999,46.298954,89661000
2007-10-01,61.520000,70.550003,61.160000,67.260002,50.742504,119493700
2007-11-01,66.699997,68.330002,63.150002,67.400002,50.848125,93320600
2007-12-01,67.400002,72.680000,65.099998,69.760002,52.744522,95612600
2008-01-01,69.629997,70.449997,62.380001,67.940002,51.368469,147585600
2008-02-01,68.110001,68.419998,61.639999,61.919998,46.816814,116784000
2008-03-01,61.910000,67.949997,59.660000,64.970001,49.233715,124947000
2008-04-01,65.180000,72.239998,64.970001,71.250000,53.992619,86953200
2008-05-01,70.779999,75.230003,68.900002,71.320000,54.045685,102556200
2008-06-01,71.449997,73.570000,67.139999,70.139999,53.266697,127820800
2008-07-01,69.419998,74.889999,60.240002,62.680000,47.601334,190949900
2008-08-01,63.110001,68.970001,61.590000,67.059998,50.927650,99945200
2008-09-01,68.150002,71.000000,62.000000,64.930000,49.432411,133535900
2008-10-01,64.000000,65.120003,48.660000,57.009998,43.402775,186164000
2008-11-01,56.529999,56.830002,43.880001,51.470001,39.185066,134303900
2008-12-01,50.730000,56.270000,47.759998,52.500000,40.091927,130133100
2009-01-01,52.439999,53.619999,44.790001,45.029999,34.387421,115637700
2009-02-01,44.779999,46.180000,41.040001,42.340000,32.333176,133948900
2009-03-01,41.709999,49.349998,38.169998,46.320000,35.501728,151183300
2009-04-01,45.669998,48.970001,44.029999,48.599998,37.249214,112938500
2009-05-01,48.389999,49.919998,44.610001,48.520000,37.187901,119077600
2009-06-01,49.200001,50.139999,44.779999,45.779999,35.223000,113315600
2009-07-01,45.810001,49.930000,44.369999,49.500000,38.085148,96823400
2009-08-01,49.750000,52.000000,47.099998,50.980000,39.223862,82577000
2009-09-01,51.340000,58.860001,49.950001,56.380001,43.538803,103969200
2009-10-01,56.150002,60.299999,55.400002,56.849998,43.901745,92945500
2009-11-01,56.849998,61.250000,56.759998,59.910000,46.406158,63580000
2009-12-01,60.130001,61.150002,57.520000,59.169998,45.832966,72889900
2010-01-01,59.130001,60.439999,56.750000,57.430000,44.485161,61205800
2010-02-01,57.799999,61.520000,57.360001,60.970001,47.227253,72957800
2010-03-01,61.000000,62.119999,59.639999,59.709999,46.393356,78643100
2010-04-01,59.730000,61.959999,58.610001,59.080002,45.903870,83104700
2010-05-01,59.029999,60.830002,55.000000,58.250000,45.258965,118287900
2010-06-01,58.180000,59.180000,54.689999,54.830002,42.748058,83488700
2010-07-01,54.730000,57.400002,53.410000,56.709999,44.213795,90675600
